#SYM,AVAILABLE,REBATERATE,FEERATE
A,3100000,4.9119,0.4081
AA,1500000,4.9119,0.4081
AAA,45000,-2.1607,7.4807
AAAU,1300000,4.7013,0.6187
AABB,10000000,-12.1351,17.4551
AABVF,350000,-6.3462,11.6662
AACAY,15000,5.0700,0.2500
AACG,90000,-22.9036,28.2236
AACI,150000,-12.3219,17.6419
AACIU,100,4.1000,1.2200
AACS,1600000,5.0700,0.2500
AACT,400000,3.4829,1.8371
AACTF,400000,-0.4399,5.7599
AADI,650000,4.7431,0.5769
AADR,60000,-5.9892,11.3092
AAGC,2800000,5.0700,0.2500
AAGFF,1400000,-19.5568,24.8768
AAGH,700000,5.0700,0.2500
AAGIY,250000,3.9696,1.3504
AAGR,200000,-5.3864,10.7064
AAIIQ,1000,5.0700,0.2500
AAIR,55000,5.0700,0.2500
AAIRF,20000,-0.0411,5.3611
AAL,10000000,5.0700,0.2500
AAMC,150000,-1.4338,6.7538
AAME,30000,-9.9473,15.2673
AAMMF,150000,-1.7558,7.0758
AAMTF,100000,-8.2380,13.5580
AAMUQ,400000,5.0700,0.2500
AAN,450000,4.4825,0.8375
AAOI,1200000,4.8341,0.4859
AAON,800000,5.0700,0.2500
AAP,400000,5.0226,0.2974
AAPB,9000,-0.8446,6.1646
AAPD,85000,1.9200,3.4000
AAPH,2300000,5.0700,0.2500
AAPJ,8500000,5.0700,0.2500
AAPL,10000000,5.0700,0.2500
AAPT,8700000,5.0700,0.2500
AAPU,40000,-2.3356,7.6556
AAPX,4000,-17.7984,23.1184
AAQL,5000,5.0700,0.2500
AASP,4000,5.0700,0.2500
AAST,10000,5.0700,0.2500
AAT,400000,4.3650,0.9550
AATC,150000,-7.0534,12.3734
AATRL,250000,4.7393,0.5807
AATV,3000,5.0700,0.2500
AAU,2400000,1.4126,3.9074
AAUGF,60000,-7.9262,13.2462
AAVMY,4000,-7.3423,12.6623
AAVVF,20000,4.8043,0.5157
AAWH,300000,1.4684,3.8516
AAXJ,700000,4.2105,1.1095
AAXT,15000,5.0700,0.2500
AB,750000,3.7209,1.5991
ABAT,200000,-6.2147,11.5347
ABBB,4000,5.0700,0.2500
ABBNY,650000,4.0469,1.2731
ABBRF,2700000,0.1474,5.1726
ABBV,10000000,5.0700,0.2500
ABBY,550000,5.0700,0.2500
ABCB,550000,4.9111,0.4089
ABCE,2300000,5.0700,0.2500
ABCFF,150000,1.2579,4.0621
ABCL,150000,4.1546,1.1654
ABCP,700000,3.7855,1.5345
ABEO,800000,4.7799,0.5401
ABEPF,1300000,4.4146,0.9054
ABEQ,7000,-0.5657,5.8857
ABEV,10000000,5.0700,0.2500
ABEW,300000,5.0700,0.2500
ABG,100000,5.0661,0.2539
ABHI,4700000,5.0700,0.2500
ABILF,70000,5.0700,0.2500
ABIO,600000,3.2284,2.0916
ABIT,100000,-1.7558,7.0758
ABKB,100,5.0700,0.2500
ABKI,600000,5.0700,0.2500
ABLE,65000,5.0700,0.2500
ABLLL,9000,-7.5832,12.9032
ABLV,9000,-5.2234,10.5434
ABM,850000,4.9119,0.4081
ABMBF,700000,4.4146,0.9054
ABMC,350000,5.0700,0.2500
ABMT,30000,5.0700,0.2500
ABNAF,55000,5.0700,0.2500
ABNB,5100000,5.0700,0.2500
ABOS,950000,2.8471,2.4729
ABPI,150000,5.0700,0.2500
ABPR,2800000,5.0700,0.2500
ABQQ,10000000,-18.6432,23.9632
ABR,100000,-0.8098,6.1298
ABSI,950000,4.3746,0.9454
ABSSF,1000,-0.2995,5.6195
ABSY,1,5.0700,0.2500
ABT,10000000,5.0640,0.2560
ABTO,4000,5.0700,0.2500
ABTS,100000,-16.9659,22.2859
ABTZY,400,5.0700,0.2500
ABUS,5400000,4.8361,0.4839
ABVC,80000,-137.7315,143.0515
ABVG,10000000,5.0700,0.2500
ABVN,5000,5.0700,0.2500
ABVV,25000,5.0700,0.2500
ABVX,85000,-33.6328,38.9528
ABWN,10000000,5.0700,0.2500
ABXXF,30000,-9.1209,14.4409
AC,4000,2.6056,2.7144
ACA,300000,4.9119,0.4081
ACAB,2000,-13.9714,19.2914
ACABU,1000,4.1000,1.2200
ACAC,20000,-13.2962,18.6162
ACACU,600,-0.8472,6.1672
ACAD,1900000,5.0700,0.2500
ACAH,900000,-2.6566,7.9766
ACAHU,3000,2.5087,2.8113
ACAI,150000,5.0700,0.2500
ACAN,100000,5.0700,0.2500
ACB,150000,-1.2524,6.5724
ACBA,95000,-74.1882,79.5082
ACBCQ,6000,5.0700,0.2500
ACCA,80000,5.0700,0.2500
ACCD,600000,4.7005,0.6195
ACCE,20000,5.0700,0.2500
ACCO,1300000,4.3607,0.9593
ACCR,850000,5.0700,0.2500
ACCS,4000000,5.0700,0.2500
ACCYY,400000,-2.4709,7.7909
ACDC,1000000,4.8109,0.5091
ACDU,2000000,5.0700,0.2500
ACDVF,300000,4.8302,0.4898
ACDXF,75000,-2.6044,7.9244
ACEL,350000,4.9097,0.4103
ACEN,150000,5.0700,0.2500
ACES,250000,-20.0036,25.3236
ACET,250000,4.6672,0.6528
ACFN,35000,4.4146,0.9054
ACGBY,20000,-2.0799,7.3999
ACGI,15000,5.0700,0.2500
ACGL,3900000,4.9119,0.4081
ACGLN,35000,-1.5823,6.9023
ACGLO,10000,-0.8487,6.1687
ACGX,45000,-7.9262,13.2462
ACHC,700000,5.0700,0.2500
ACHFF,20000,-7.7054,13.0254
ACHL,1700000,-5.5728,10.8928
ACHR,700000,2.4831,2.8369
ACHV,300000,3.0345,2.2855
ACI,9900000,5.0700,0.2500
ACIC,2400000,2.0070,3.3130
ACIO,40000,-0.2591,5.5791
ACIU,950000,-6.9210,12.2410
ACIW,1200000,4.7405,0.5795
ACKAY,300,5.0700,0.2500
ACKRF,850000,-6.5363,11.8563
ACLHF,350000,-243.7000,249.0200
ACLLF,10000,3.9274,1.3926
ACLLY,5000,-3.9075,9.2275
ACLP,10000000,5.0700,0.2500
ACLS,350000,5.0700,0.2500
ACLX,150000,4.8879,0.4321
ACLY,2000,5.0700,0.2500
ACM,1800000,5.0391,0.2809
ACMR,1000000,5.0318,0.2882
ACMT,100,5.0700,0.2500
ACN,5100000,5.0700,0.2500
ACNB,30000,4.2948,1.0252
ACNE,1000,5.0700,0.2500
ACNI,100000,5.0700,0.2500
ACNT,15000,4.9509,0.3691
ACNV,550000,5.0700,0.2500
ACOGF,200000,-18.4078,23.7278
ACON,25000,-457.8481,463.1681
ACOPY,10000,-6.5304,11.8504
ACOR,10000,-24.0673,29.3873
ACP,1200000,-1.0727,6.3927
ACPIQ,150000,2.9531,2.3669
ACR,550000,4.8862,0.4338
ACRB,80000,5.0700,0.2500
ACRDF,350000,-6.8456,12.1656
ACRE,500000,4.8887,0.4313
ACRG,6000,-1.7558,7.0758
ACRHF,1100000,-13.1093,18.4293
ACRS,1300000,4.0115,1.3085
ACRV,35000,1.0492,4.2708
ACSAY,40000,4.5655,0.7545
ACSI,350000,-0.5765,5.8965
ACST,150000,-34.2268,39.5468
ACT,200000,4.9165,0.4035
ACTG,1600000,4.8724,0.4476
ACTHF,1400000,-37.1166,42.4366
ACTL,10000000,5.0700,0.2500
ACTV,30000,-12.1052,17.4252
ACU,100000,3.6062,1.7138
ACUR,300,5.0700,0.2500
ACUS,35000,5.0700,0.2500
ACUT,30000,-11.1738,16.4938
ACV,500,2.2380,3.0820
ACVA,2200000,4.8623,0.4577
ACVF,35000,-2.6467,7.9667
ACWI,2700000,5.0700,0.2500
ACWV,900000,4.8043,0.5157
ACWX,1300000,4.8498,0.4702
ACXP,150000,-17.8827,23.2027
ADAC,200000,5.0700,0.2500
ADAG,100000,-103.9370,109.2570
ADAP,4800000,1.4666,3.8534
ADBE,4400000,5.0700,0.2500
ADBN,10000000,5.0700,0.2500
ADBRF,2000,-6.2894,11.6094
ADC,1600000,5.0554,0.2646
ADCOF,15000,-5.0034,10.3234
ADCT,200,-8.2777,13.5977
ADCV,2000,5.0700,0.2500
ADD,100000,-6.6853,12.0053
ADDL,300000,5.0700,0.2500
ADDYY,7000,-23.1720,28.4920
ADEA,1100000,4.9144,0.4056
ADFI,100,-6.5304,11.8504
ADFS,1300000,5.0700,0.2500
ADGL,90000,5.0700,0.2500
ADGO,10000000,5.0700,0.2500
ADHC,1400000,5.0700,0.2500
ADHI,5000,5.0700,0.2500
ADI,4800000,4.9119,0.4081
ADIA,150000,-8.5757,13.8957
ADIL,95000,-24.8348,30.1548
ADIV,3000,-21.4151,26.7351
ADLDY,400,5.0700,0.2500
ADLS,200000,5.0700,0.2500
ADM,4900000,5.0700,0.2500
ADMA,2800000,4.6486,0.6714
ADME,70000,-0.8472,6.1672
ADMG,15000,5.0700,0.2500
ADMQ,550000,-9.5370,14.8570
ADMT,500000,-8.5757,13.8957
ADN,200000,-10.0270,15.3470
ADNT,1400000,5.0528,0.2672
ADOC,30000,-11.5371,16.8571
ADOOY,3000,-7.7916,13.1116
ADP,3400000,5.0700,0.2500
ADPT,2600000,4.8654,0.4546
ADRN,15000,5.0700,0.2500
ADRNY,400000,-30.1422,35.4622
ADRT,5000,3.3476,1.9724
ADRZY,6000,5.0700,0.2500
ADSE,9000,-33.3887,38.7087
ADSK,2000000,5.0700,0.2500
ADSV,4700000,5.0700,0.2500
ADSYQ,1000000,5.0700,0.2500
ADT,1100000,4.9223,0.3977
ADTC,900,5.0700,0.2500
ADTH,1500000,1.1416,4.1784
ADTN,950000,4.7387,0.5813
ADTX,100000,-277.1370,282.4570
ADUS,250000,4.8523,0.4677
ADV,500000,4.8425,0.4775
ADVBQ,25000,-0.2078,5.5278
ADVM,80000,4.9017,0.4183
ADVNQ,95000,3.4288,1.8912
ADVT,450000,5.0700,0.2500
ADVZF,1000000,-1.9887,7.3087
ADWPF,100,-8.6591,13.9791
ADX,250000,-1.6693,6.9893
ADXM,400000,5.0700,0.2500
ADXN,10000,-32.6540,37.9740
ADXS,80000,-4.0291,9.3491
ADYE,95000,5.0700,0.2500
ADYEY,1200000,2.1857,3.1343
ADYX,20000,5.0700,0.2500
ADZR,5700000,5.0700,0.2500
AE,40000,4.7367,0.5833
AEAE,100000,2.2651,3.0549
AEAEU,4000,4.1000,1.2200
AEBZY,15000,-1.9199,7.2399
AECX,3000,5.0700,0.2500
AEDC,1500000,5.0700,0.2500
AEE,1800000,4.9158,0.4042
AEEI,3000,5.0700,0.2500
AEF,200000,-20.0620,25.3820
AEFC,100000,1.6534,3.6666
AEG,6700000,4.9121,0.4079
AEGXF,1000,4.6671,0.6529
AEGY,2200000,5.0700,0.2500
AEHI,300000,5.0700,0.2500
AEHL,25000,-14.6493,19.9693
AEHR,600000,4.9694,0.3506
AEI,100000,-21.5788,26.8988
AEIS,350000,5.0700,0.2500
AEL,400000,4.9119,0.4081
AELIY,5000,5.0700,0.2500
AEM,3700000,5.0700,0.2500
AEMD,55000,-16.8144,22.1344
AEMMY,600,5.0700,0.2500
AEND,350000,5.0700,0.2500
AENG,2000,5.0700,0.2500
AENP,150000,5.0700,0.2500
AENS,8000,5.0700,0.2500
AENT,45000,-42.6813,48.0013
AEO,1000000,4.9119,0.4081
AEON,20000,-65.5280,70.8480
AEP,4000000,4.9119,0.4081
AEPT,400000,-8.5757,13.8957
AER,2400000,4.9119,0.4081
AERG,650000,1.4031,3.9169
AERN,3500000,5.0700,0.2500
AERP,10000000,5.0700,0.2500
AERS,250000,5.0700,0.2500
AERT,35000,-28.3824,33.7024
AES,3300000,4.8055,0.5145
AESC,40000,4.9516,0.3684
AESI,150000,4.8734,0.4466
AESR,20000,-2.7416,8.0616
AETH,700,-8.8308,14.1508
AETHF,600000,-13.9992,19.3192
AETUF,95000,4.9616,0.3584
AEVA,3800000,4.5644,0.7556
AEXAY,700,0.6637,4.6563
AEXE,10000000,5.0700,0.2500
AEXG,100000,5.0700,0.2500
AEYE,200000,4.0960,1.2240
AEZS,65000,-11.2678,16.5878
AFAR,10000,0.7766,4.5434
AFARU,300,4.1000,1.2200
AFB,85000,-6.8010,12.1210
AFBI,30000,2.8722,2.4478
AFCG,400000,4.9687,0.3513
AFDG,250000,4.7393,0.5807
AFFCF,25000,-9.9143,15.2343
AFFL,35000,NA,NA
AFFMQ,150000,5.0700,0.2500
